response_id,language_have_worked_with,language_want_to_work_with,database_have_worked_with,database_want_to_work_with,platform_have_worked_with,platform_want_to_work_with,web_framework_have_worked_with,web_framework_want_to_work_with,development_environment_have_worked_with,development_environment_want_to_work_with,ai_model_have_worked_with,ai_model_want_to_work_with
1,Bash/Shell (all shells);Dart;SQL,Dart,Cloud Firestore;PostgreSQL,,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Gradle,,,,Android Studio;Notepad++;Visual Studio;Visual Studio Code;Xcode,,openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,
2,Java,Java;Python;Swift,Dynamodb;MongoDB,Dynamodb;MongoDB,Amazon Web Services (AWS);Datadog;Docker;Homebrew;Kubernetes;Maven (build tool);Terraform,Amazon Web Services (AWS);Datadog;Docker;Homebrew;Kubernetes;Maven (build tool);Terraform,Spring Boot,Spring Boot,IntelliJ IDEA;PyCharm;Visual Studio Code;Xcode,IntelliJ IDEA;PyCharm;Visual Studio Code;Xcode,openAI GPT (chatbot models),openAI GPT (chatbot models)
3,Dart;HTML/CSS;JavaScript;TypeScript,Dart;HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL;PostgreSQL,Firebase Realtime Database;MongoDB,Datadog;Firebase;npm;pnpm,Amazon Web Services (AWS);Firebase;npm;pnpm;Vite,Next.js;Node.js;React,Next.js;Node.js;React,Visual Studio Code,Visual Studio Code;Windsurf,Gemini (Flash general purpose models);openAI GPT (chatbot models),Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models)
4,Java;Kotlin;SQL,Java;Kotlin,,,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,Spring Boot,Spring Boot,,,,
5,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),C#;Java;JavaScript;Python;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,Elasticsearch;Oracle;PostgreSQL,Amazon Web Services (AWS);APT;Docker;Make;Maven (build tool);MSBuild;npm;NuGet;Pip,Amazon Web Services (AWS);APT;Docker;Maven (build tool);MSBuild;npm;NuGet;Pip,Angular;ASP.NET;ASP.NET Core;Flask;jQuery,Angular;ASP.NET Core;Flask,Eclipse;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Rider;Visual Studio;WebStorm,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Rider;Visual Studio;WebStorm,openAI GPT (chatbot models),openAI GPT (chatbot models)
6,Java;Scala,Java;Kotlin;Scala,,,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS),Spring Boot,Spring Boot,IntelliJ IDEA;Visual Studio Code,IntelliJ IDEA;Visual Studio Code,,
7,JavaScript;TypeScript,JavaScript;TypeScript,,,Amazon Web Services (AWS);Docker;Homebrew;npm;pnpm;Webpack,,Next.js;Node.js;React,Next.js;Node.js;React,WebStorm,WebStorm,,
8,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,MongoDB;PostgreSQL;SQLite,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);APT;Docker;Google Cloud;Homebrew;npm;Pip,APT;Cargo;Docker;Homebrew;Pip,Angular;Django,Django,PyCharm;Visual Studio Code;WebStorm,Claude Code;PyCharm;Visual Studio Code,openAI GPT (chatbot models),Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models;Perplexity Sonar models
9,Java;Python;Scala,Scala,Cassandra;Databricks SQL;DuckDB;Dynamodb;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Snowflake;Amazon Redshift,Dynamodb;MySQL;PostgreSQL,Amazon Web Services (AWS);Datadog;Docker;Microsoft Azure;Splunk,Amazon Web Services (AWS);Datadog;Microsoft Azure,FastAPI;Spring Boot,,IntelliJ IDEA;Notepad++;PyCharm;Visual Studio Code,,,
10,,,,,,,,,Xcode,Cursor,,
11,HTML/CSS;Java;JavaScript;SQL;TypeScript,HTML/CSS;Java;JavaScript;SQL;TypeScript,H2;Microsoft SQL Server;PostgreSQL;Redis,H2;Microsoft SQL Server;PostgreSQL;Redis,Kubernetes;Maven (build tool);npm,Kubernetes;Maven (build tool);npm,Spring Boot,Spring Boot,Cursor;IntelliJ IDEA;Notepad++;Visual Studio Code,Cursor;IntelliJ IDEA;Notepad++;Visual Studio Code,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models
12,C#,C#,Microsoft SQL Server;SQLite,Microsoft SQL Server;PostgreSQL,,,ASP.NET Core,ASP.NET Core,,,,
13,HTML/CSS;JavaScript;TypeScript,C#;TypeScript,,,,,Angular,Angular;Node.js;React,,,openAI GPT (chatbot models),openAI GPT (chatbot models)
14,,,,,,,,,,,,
15,,,MySQL,MySQL,,,,,,,,
16,Ada;Assembly;C;C#;C++;COBOL;Dart;Delphi;Elixir;Erlang;F#;Fortran;GDScript;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;MicroPython;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zig;Mojo,Ada;Bash/Shell (all shells);C;C#;C++;Rust;Scala;SQL;Gleam,BigQuery;Cassandra;Cloud Firestore;Cosmos DB;InfluxDB;Microsoft SQL Server;MongoDB;Neo4J;Oracle;PostgreSQL;Snowflake;SQLite;Clickhouse;Cockroachdb;Pocketbase;Valkey,Dynamodb;InfluxDB,Amazon Web Services (AWS);APT;Bun;Chocolatey;Datadog;Digital Ocean;Docker;Kubernetes;Netlify;New Relic;Ninja;npm;NuGet;Pip;pnpm;Podman;Poetry;Prometheus;Railway;Splunk;Supabase;Terraform;Vercel;Vite;Webpack;Yandex Cloud;Yarn,Ansible;Cargo;Cloudflare;Composer;Firebase;Google Cloud;Gradle;Heroku;Homebrew;IBM Cloud;Make;Maven (build tool);Microsoft Azure;MSBuild;Pacman;Pip,Angular;AngularJS;ASP.NET;ASP.NET Core;Astro;Blazor;Deno;Django;Drupal;Express;FastAPI;jQuery;React;Ruby on Rails;Spring Boot;Svelte;Symfony;Vue.js;WordPress;Axum,Drupal;Fastify;NestJS;Next.js;Node.js;Nuxt.js;Phoenix;React,,,Alibaba Cloud Qwen models;Amazon Titan models;openAI GPT (chatbot models),
17,,,,,,,,,,,,
18,HTML/CSS;JavaScript;Python;SQL,Python,MariaDB;MongoDB;MySQL;SQLite,MongoDB,,,Django;Flask;React,Django;React,Vim;Visual Studio Code,Vim;Visual Studio Code,openAI GPT (chatbot models),
19,Bash/Shell (all shells);Java;JavaScript;Perl;TypeScript,Bash/Shell (all shells);Java,H2;MongoDB;MySQL;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS);Ansible;APT;Docker;Heroku;Maven (build tool);npm,Amazon Web Services (AWS);Docker;Maven (build tool),,,IntelliJ IDEA;Vim,IntelliJ IDEA;Vim,DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Meta Llama (all models);Mistral AI models,
20,Python,Python,,,Google Cloud,Google Cloud,,,Visual Studio Code,Visual Studio Code,,
21,Bash/Shell (all shells);C;HTML/CSS;Lua;Python,Bash/Shell (all shells);C;HTML/CSS;Lua;Python,,,Make,Make,,,,,,
