category,type,technology,count
ai_model_tool,used,openAI GPT (chatbot models),13424
ai_model_tool,used,Anthropic: Claude Sonnet,7063
ai_model_tool,used,Gemini (Flash general purpose models),5823
ai_model_tool,used,openAI Reasoning models,5716
ai_model_tool,used,openAI Image generating models,4395
ai_model_tool,used,Gemini (Pro Reasoning models),4221
ai_model_tool,used,DeepSeek (R- Reasoning models),3848
ai_model_tool,used,Meta Llama (all models),2941
ai_model_tool,used,DeepSeek (V- General purpose models),2363
ai_model_tool,used,X Grok models,1839
ai_model_tool,used,Mistral AI models,1712
ai_model_tool,used,Perplexity Sonar models,1250
ai_model_tool,used,Alibaba Cloud Qwen models,864
ai_model_tool,used,Microsoft Phi-4 models,833
ai_model_tool,used,Amazon Titan models,283
ai_model_tool,used,Cohere: Command A,139
ai_model_tool,used,Reka (Flash 3 or other Reka models),57
ai_model_tool,wanted,openAI GPT (chatbot models),8328
ai_model_tool,wanted,Anthropic: Claude Sonnet,5428
ai_model_tool,wanted,openAI Reasoning models,4213
ai_model_tool,wanted,Gemini (Flash general purpose models),3865
ai_model_tool,wanted,Gemini (Pro Reasoning models),3670
ai_model_tool,wanted,openAI Image generating models,3031
ai_model_tool,wanted,DeepSeek (R- Reasoning models),2750
ai_model_tool,wanted,Meta Llama (all models),2004
ai_model_tool,wanted,DeepSeek (V- General purpose models),1832
ai_model_tool,wanted,X Grok models,1429
ai_model_tool,wanted,Mistral AI models,1288
ai_model_tool,wanted,Perplexity Sonar models,1012
ai_model_tool,wanted,Alibaba Cloud Qwen models,669
ai_model_tool,wanted,Microsoft Phi-4 models,629
ai_model_tool,wanted,Amazon Titan models,312
ai_model_tool,wanted,Cohere: Command A,155
ai_model_tool,wanted,Reka (Flash 3 or other Reka models),131
database,used,PostgreSQL,14529
database,used,MySQL,10581
database,used,SQLite,9798
database,used,Microsoft SQL Server,7871
database,used,Redis,7316
database,used,MongoDB,6267
database,used,MariaDB,5862
database,used,Elasticsearch,4347
database,used,Oracle,2761
database,used,Dynamodb,2551
database,used,BigQuery,1705
database,used,Supabase,1558
database,used,Cloud Firestore,1494
database,used,H2,1303
database,used,Firebase Realtime Database,1299
database,used,Microsoft Access,1244
database,used,Cosmos DB,1190
database,used,Snowflake,1079
database,used,InfluxDB,963
database,used,Databricks SQL,895
database,used,DuckDB,863
database,used,Cassandra,766
database,used,Neo4J,691
database,used,Valkey,632
database,used,Clickhouse,627
database,used,IBM DB2,615
database,used,Amazon Redshift,611
database,used,Cockroachdb,262
database,used,Pocketbase,262
database,used,Datomic,148
database,wanted,PostgreSQL,11863
database,wanted,SQLite,7185
database,wanted,Redis,6014
database,wanted,MySQL,5120
database,wanted,MongoDB,4421
database,wanted,Microsoft SQL Server,3851
database,wanted,Elasticsearch,3288
database,wanted,MariaDB,3239
database,wanted,Dynamodb,1741
database,wanted,Supabase,1621
database,wanted,DuckDB,1436
database,wanted,BigQuery,1371
database,wanted,Oracle,1259
database,wanted,Valkey,1240
database,wanted,Cassandra,1214
database,wanted,Snowflake,1068
database,wanted,Firebase Realtime Database,1010
database,wanted,Cosmos DB,988
database,wanted,Cloud Firestore,980
database,wanted,Neo4J,972
database,wanted,Databricks SQL,874
database,wanted,Clickhouse,844
database,wanted,InfluxDB,721
database,wanted,Amazon Redshift,685
database,wanted,Cockroachdb,632
database,wanted,H2,620
database,wanted,Pocketbase,407
database,wanted,Microsoft Access,363
database,wanted,IBM DB2,330
database,wanted,Datomic,272
development_environment,used,Visual Studio Code,19872
development_environment,used,Visual Studio,7587
development_environment,used,Notepad++,7176
development_environment,used,IntelliJ IDEA,7107
development_environment,used,Vim,6355
development_environment,used,Cursor,4681
development_environment,used,PyCharm,3938
development_environment,used,Android Studio,3916
development_environment,used,Jupyter Notebook/JupyterLab,3683
development_environment,used,Neovim,3663
development_environment,used,Nano,3204
development_environment,used,Sublime Text,2736
development_environment,used,Xcode,2622
development_environment,used,Claude Code,2538
development_environment,used,WebStorm,2004
development_environment,used,Zed,1906
development_environment,used,Rider,1869
development_environment,used,Eclipse,1860
development_environment,used,VSCodium,1627
development_environment,used,PhpStorm,1528
development_environment,used,Windsurf,1275
development_environment,used,RustRover,849
development_environment,used,Lovable.dev,623
development_environment,used,Bolt,600
development_environment,used,Cline and/or Roo,574
development_environment,used,Aider,504
development_environment,used,Trae,219
development_environment,wanted,Visual Studio Code,12722
development_environment,wanted,IntelliJ IDEA,4551
development_environment,wanted,Visual Studio,4145
development_environment,wanted,Vim,4079
development_environment,wanted,Notepad++,4027
development_environment,wanted,Cursor,3788
development_environment,wanted,Neovim,3445
development_environment,wanted,Claude Code,2644
