category,type,technology,count
Base de datos,usada,PostgreSQL,14529
Base de datos,usada,MySQL,10581
Base de datos,usada,SQLite,9798
Base de datos,usada,Microsoft SQL Server,7871
Base de datos,usada,Redis,7316
Base de datos,usada,MongoDB,6267
Base de datos,usada,MariaDB,5862
Base de datos,usada,Elasticsearch,4347
Base de datos,usada,Oracle,2761
Base de datos,usada,Dynamodb,2551
Base de datos,usada,BigQuery,1705
Base de datos,usada,Supabase,1558
Base de datos,usada,Cloud Firestore,1494
Base de datos,usada,H2,1303
Base de datos,usada,Firebase Realtime Database,1299
Base de datos,usada,Microsoft Access,1244
Base de datos,usada,Cosmos DB,1190
Base de datos,usada,Snowflake,1079
Base de datos,usada,InfluxDB,963
Base de datos,usada,Databricks SQL,895
Base de datos,usada,DuckDB,863
Base de datos,usada,Cassandra,766
Base de datos,usada,Neo4J,691
Base de datos,usada,Valkey,632
Base de datos,usada,Clickhouse,627
Base de datos,usada,IBM DB2,615
Base de datos,usada,Amazon Redshift,611
Base de datos,usada,Cockroachdb,262
Base de datos,usada,Pocketbase,262
Base de datos,usada,Datomic,148
Entorno desarrollo,usada,Visual Studio Code,19872
Entorno desarrollo,usada,Visual Studio,7587
Entorno desarrollo,usada,Notepad++,7176
Entorno desarrollo,usada,IntelliJ IDEA,7107
Entorno desarrollo,usada,Vim,6355
Entorno desarrollo,usada,Cursor,4681
Entorno desarrollo,usada,PyCharm,3938
Entorno desarrollo,usada,Android Studio,3916
Entorno desarrollo,usada,Jupyter Notebook/JupyterLab,3683
Entorno desarrollo,usada,Neovim,3663
Entorno desarrollo,usada,Nano,3204
Entorno desarrollo,usada,Sublime Text,2736
Entorno desarrollo,usada,Xcode,2622
Entorno desarrollo,usada,Claude Code,2538
Entorno desarrollo,usada,WebStorm,2004
Entorno desarrollo,usada,Zed,1906
Entorno desarrollo,usada,Rider,1869
Entorno desarrollo,usada,Eclipse,1860
Entorno desarrollo,usada,VSCodium,1627
Entorno desarrollo,usada,PhpStorm,1528
Entorno desarrollo,usada,Windsurf,1275
Entorno desarrollo,usada,RustRover,849
