titulo,empresa,salario,ubicacion,tipo_de_trabajo,fecha_de_publicacion,enlace
"Urgente										

										Analista Programador",NEXYRA,24.000€ - 36.000€,Alicante,Híbrido,03/04/2026,https://www.tecnoempleo.com/analista-programador/gravitee-wso2/rf-32931e2b32d6d3eeb642
"Urgente										

										Técnico/a de sistemas y soporte IT",OKDIARIO,,Madrid,Presencial,03/04/2026,https://www.tecnoempleo.com/tecnico-sistemas-soporte-it-okdiario/macos-windows/rf-fc8a137c12ed539b3847
"Urgente										

										Senior Data Visualization Qlik",EXDESIS,,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/senior-data-visualization-qlik-exdesis/qlik-sense-qlik-view/rf-59cc1583921653db214c
"Urgente										

										Senior Fullstack Engineer / Tech Lead",Social You,45.000€ - 54.000€,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/senior-fullstack-engineer-tech-lead-social-you/microservicios-docker/rf-f4e513a5a267334a4342
Software Development Engineer,Airbus,,Madrid,,04/04/2026,https://www.tecnoempleo.com/software-development-engineer-airbus/vxworks-pikeos/rf-268511929250f360ea40
Technical Lead,NEXYRA,45.000€ - 48.000€,Alicante,Híbrido,04/04/2026,https://www.tecnoempleo.com/technical-lead/gravitee-wso2/rf-28931646f269f370b042
Ingeniero Sistemas Junior (08:00-15:00h),Arelance,21.000€ - 24.000€,Málaga,Presencial,04/04/2026,https://www.tecnoempleo.com/ingeniero-sistemas-junior-08-00-15-00h-arelance/ad-windows/rf-2c8b1a62c24c334e8541
Profesional AS400,Arelance,,,100% remoto,04/04/2026,https://www.tecnoempleo.com/profesional-as400-arelance/cobol/rf-87f216bad2ded3323341
Tester QA,Arelance,,,100% remoto,04/04/2026,https://www.tecnoempleo.com/tester-qa-arelance/soapui-postman/rf-1c6518b362816304cd49
Dev .NET Framework / C# / VB6,Page Personnel,33.000€ - 42.000€,Madrid,Híbrido,04/04/2026,https://www.tecnoempleo.com/dev-net-framework-c-vb6-page-personnel/net-visual-basic/rf-f72c1ab8d22d63f52b46
Técnico de Monitorización Grafana,PSS,30.000€ - 36.000€,Madrid,Híbrido,04/04/2026,https://www.tecnoempleo.com/tecnico-monitorizacion-grafana-pss/devops-elasticsearch/rf-62ea1ce3b29e5311274e
Business Process Manager,Page Personnel,,Madrid,Presencial,04/04/2026,https://www.tecnoempleo.com/business-process-manager-page-personnel/sap-bpmn/rf-997719c732ea53dcdb4b
Data Lead Engineer,UST,,Málaga,Híbrido,04/04/2026,https://www.tecnoempleo.com/data-lead-engineer-ust/aws-s3/rf-84b311f9c28b33d64846
Financial Crime Technical Lead,UST,,,100% remoto,04/04/2026,https://www.tecnoempleo.com/financial-crime-technical-lead-ust/transaction-monitoring-agile/rf-1f3117151298d3f54a46
QE with a strong background in T24,UST,,,100% remoto,04/04/2026,https://www.tecnoempleo.com/qe-with-strong-background-in-t24-ust/test/rf-922219e8a2a623c97044
Comercial Soluciones Tecnológicas,Nexfy,,,,04/04/2026,https://www.tecnoempleo.com/comercial-soluciones-tecnologicas-nexfy/comercial/rf-deac1b2522e8b3ae7d4d
