category,type,technology,count
ai_model_tool,used,openAI GPT (chatbot models),13424
ai_model_tool,used,Anthropic: Claude Sonnet,7063
ai_model_tool,used,Gemini (Flash general purpose models),5823
ai_model_tool,used,openAI Reasoning models,5716
ai_model_tool,used,openAI Image generating models,4395
ai_model_tool,used,Gemini (Pro Reasoning models),4221
ai_model_tool,used,DeepSeek (R- Reasoning models),3848
ai_model_tool,used,Meta Llama (all models),2941
ai_model_tool,used,DeepSeek (V- General purpose models),2363
ai_model_tool,used,X Grok models,1839
ai_model_tool,used,Mistral AI models,1712
ai_model_tool,used,Perplexity Sonar models,1250
ai_model_tool,used,Alibaba Cloud Qwen models,864
ai_model_tool,used,Microsoft Phi-4 models,833
ai_model_tool,used,Amazon Titan models,283
ai_model_tool,used,Cohere: Command A,139
ai_model_tool,used,Reka (Flash 3 or other Reka models),57
database,used,PostgreSQL,14529
database,used,MySQL,10581
database,used,SQLite,9798
database,used,Microsoft SQL Server,7871
database,used,Redis,7316
database,used,MongoDB,6267
database,used,MariaDB,5862
database,used,Elasticsearch,4347
database,used,Oracle,2761
database,used,Dynamodb,2551
database,used,BigQuery,1705
database,used,Supabase,1558
database,used,Cloud Firestore,1494
database,used,H2,1303
database,used,Firebase Realtime Database,1299
database,used,Microsoft Access,1244
database,used,Cosmos DB,1190
database,used,Snowflake,1079
database,used,InfluxDB,963
database,used,Databricks SQL,895
database,used,DuckDB,863
database,used,Cassandra,766
database,used,Neo4J,691
database,used,Valkey,632
database,used,Clickhouse,627
database,used,IBM DB2,615
database,used,Amazon Redshift,611
database,used,Cockroachdb,262
database,used,Pocketbase,262
database,used,Datomic,148
development_environment,used,Visual Studio Code,19872
development_environment,used,Visual Studio,7587
development_environment,used,Notepad++,7176
development_environment,used,IntelliJ IDEA,7107
development_environment,used,Vim,6355
development_environment,used,Cursor,4681
development_environment,used,PyCharm,3938
development_environment,used,Android Studio,3916
development_environment,used,Jupyter Notebook/JupyterLab,3683
development_environment,used,Neovim,3663
development_environment,used,Nano,3204
development_environment,used,Sublime Text,2736
development_environment,used,Xcode,2622
development_environment,used,Claude Code,2538
development_environment,used,WebStorm,2004
development_environment,used,Zed,1906
development_environment,used,Rider,1869
development_environment,used,Eclipse,1860
development_environment,used,VSCodium,1627
development_environment,used,PhpStorm,1528
development_environment,used,Windsurf,1275
development_environment,used,RustRover,849
development_environment,used,Lovable.dev,623
development_environment,used,Bolt,600
development_environment,used,Cline and/or Roo,574
development_environment,used,Aider,504
development_environment,used,Trae,219
language,used,JavaScript,21005
language,used,HTML/CSS,19698
language,used,SQL,18633
language,used,Python,18410
language,used,Bash/Shell (all shells),15503
language,used,TypeScript,13859
language,used,Java,9358
language,used,C#,8852
language,used,C++,7485
language,used,PowerShell,7371
language,used,C,6987
language,used,PHP,5994
language,used,Go,5219
language,used,Rust,4724
language,used,Kotlin,3420
language,used,Lua,2910
language,used,Assembly,2246
language,used,Ruby,2046
language,used,Dart,1885
language,used,Swift,1719
language,used,R,1569
language,used,Groovy,1535
language,used,Visual Basic (.Net),1409
language,used,VBA,1334
language,used,MATLAB,1231
language,used,Perl,1215
language,used,GDScript,1062
language,used,Elixir,847
language,used,Scala,843
language,used,Delphi,796
language,used,Lisp,753
language,used,MicroPython,723
language,used,Zig,680
language,used,Erlang,465
language,used,Fortran,449
language,used,Ada,431
language,used,F#,406
language,used,OCaml,367
language,used,Gleam,354
language,used,Prolog,338
language,used,COBOL,308
language,used,Mojo,145
platform_cloud,used,Docker,17414
platform_cloud,used,npm,13906
platform_cloud,used,Amazon Web Services (AWS),10618
platform_cloud,used,Pip,10025
platform_cloud,used,Kubernetes,6993
platform_cloud,used,Microsoft Azure,6447
platform_cloud,used,Homebrew,6291
platform_cloud,used,Vite,6215
platform_cloud,used,Google Cloud,6015
platform_cloud,used,Make,5682
platform_cloud,used,Yarn,5178
platform_cloud,used,Cloudflare,4923
platform_cloud,used,NuGet,4637
platform_cloud,used,APT,4516
platform_cloud,used,Webpack,4500
platform_cloud,used,Terraform,4349
platform_cloud,used,Maven (build tool),4022
platform_cloud,used,Gradle,3523
platform_cloud,used,Cargo,3521
platform_cloud,used,pnpm,3290
platform_cloud,used,Firebase,3200
platform_cloud,used,Prometheus,2883
platform_cloud,used,Ansible,2878
platform_cloud,used,Podman,2730
platform_cloud,used,Chocolatey,2706
platform_cloud,used,Composer,2701
platform_cloud,used,MSBuild,2700
platform_cloud,used,Digital Ocean,2621
platform_cloud,used,Vercel,2602
platform_cloud,used,Poetry,2214
platform_cloud,used,Datadog,2169
platform_cloud,used,Pacman,2124
platform_cloud,used,Netlify,1433
